index,Movie ID,Movie,Release Date,ARR,prod_budget_bucket
4145,tt2382396,Joe,2014,0.09334375,b1
4145,tt2382396,Joe,2014,0.09334375,b1
4149,tt6107548,Late Night,2019,0.06157625,b1
4149,tt6107548,Late Night,2019,0.06157625,b1
4152,tt2403393,Desert Dancer,2015,0.14908375,b1
4155,tt2893490,Manglehorn,2015,0.19935975,b1
4157,tt1529572,Trust,2011,0.030004,b1
4157,tt1529572,Trust,2011,0.030004,b1
4157,tt1529572,Trust,2011,0.030004,b1
4161,tt1464580,Stake Land,2011,0.1698705,b1
4161,tt1464580,Stake Land,2011,0.1698705,b1
4161,tt1464580,Stake Land,2011,0.1698705,b1
4163,tt1599354,Sonny,2002,0.00440975,b1
4165,tt2059171,13 Sins,2014,0.011888,b1
4165,tt2059171,13 Sins,2014,0.011888,b1
4166,tt1719071,Another Happy Day,2011,0.24463175,b1
4166,tt1719071,Another Happy Day,2011,0.24463175,b1
4167,tt1844203,Inescapable,2013,0.00108175,b1
4167,tt1844203,Inescapable,2013,0.00108175,b1
4167,tt1844203,Inescapable,2013,0.00108175,b1
4170,tt1422136,A Lonely Place to Die,2012,0.1106375,b1
4170,tt1422136,A Lonely Place to Die,2012,0.1106375,b1
4171,tt10332174,Nothing,2003,0.015795,b1
4174,tt4154916,Replicas,2012,0.0,b1
4174,tt4154916,Replicas,2012,0.0,b1
4174,tt4154916,Replicas,2012,0.0,b1
4176,tt3343868,The Veil,2015,0.0,b1
4176,tt3343868,The Veil,2015,0.0,b1
4177,tt2414822,The Perfect Wave,2014,0.0,b1
4179,tt4340720,Chain of Command,2015,0.0,b1
4179,tt4340720,Chain of Command,2015,0.0,b1
4184,tt1341167,Four Lions,2010,0.6496296,b1
4184,tt1341167,Four Lions,2010,0.6496296,b1
4184,tt1341167,Four Lions,2010,0.6496296,b1
4187,tt1401152,Unknown,2006,0.9067697297297297,b1
4187,tt1401152,Unknown,2006,0.9067697297297297,b1
4187,tt1401152,Unknown,2006,0.9067697297297297,b1
4191,tt2125681,Truth or Dare,2018,27.179241142857144,b1
4191,tt2125681,Truth or Dare,2018,27.179241142857144,b1
4191,tt2125681,Truth or Dare,2018,27.179241142857144,b1
4194,tt4263482,The Witch,2016,11.558434285714286,b1
4194,tt4263482,The Witch,2016,11.558434285714286,b1
4195,tt1072748,Winchester,2018,12.67944,b1
4197,tt2387433,Dark Skies,2013,7.9154602857142855,b1
4197,tt2387433,Dark Skies,2013,7.9154602857142855,b1
