,index,Movie,Release Date,ARR,prod_budget_bucket,movie_id,primary_title,original_title,start_year,runtime_minutes,genres,person_id,primary_name,birth_year,death_year,primary_profession
11221,705,Hercules,1997,3.5814285714285714,b4,tt1267297,Hercules,Hercules,2014,98.0,"Action,Adventure,Fantasy",nm0711840,Brett Ratner,1969.0,,"producer,director,actor"
11230,706,Olympus Has Fallen,2013,2.4696989714285715,b4,tt2302755,Olympus Has Fallen,Olympus Has Fallen,2013,119.0,"Action,Thriller",nm0298807,Antoine Fuqua,1965.0,,"director,producer,actor"
11234,709,War Horse,2011,2.2402218428571428,b4,tt1568911,War Horse,War Horse,2011,146.0,"Drama,History,War",nm0000229,Steven Spielberg,1946.0,,"producer,writer,director"
11238,711,The Monuments Men,2014,2.2671821142857143,b4,tt2177771,The Monuments Men,The Monuments Men,2014,118.0,"Comedy,Drama,History",nm0000123,George Clooney,1961.0,,"actor,producer,director"
11246,712,Storks,2016,2.6193347285714284,b4,tt4624424,Storks,Storks,2016,87.0,"Adventure,Animation,Comedy",nm0842339,Doug Sweetland,,,"animation_department,director,actor"
11247,712,Storks,2016,2.6193347285714284,b4,tt4624424,Storks,Storks,2016,87.0,"Adventure,Animation,Comedy",nm0831557,Nicholas Stoller,1976.0,,"producer,writer,director"
11252,714,Big Fish,2003,1.7707760428571429,b4,tt2855236,Big Fish,Big Fish,2012,103.0,Action,nm5638988,Banzragch Batbold,,,"director,editor,producer"
11253,715,Wolf,1994,1.8715965285714289,b4,tt1648168,Wolf,Wolf,2010,98.0,"Action,Crime,Drama",nm1029033,Stef Desmyter,,,director
11256,717,The Lego Ninjago Movie,2017,1.7533885857142857,b4,tt3014284,The Lego Ninjago Movie,The Lego Ninjago Movie,2017,101.0,"Action,Adventure,Animation",nm0063769,Charlie Bean,,,"animation_department,art_department,director"
11257,717,The Lego Ninjago Movie,2017,1.7533885857142857,b4,tt3014284,The Lego Ninjago Movie,The Lego Ninjago Movie,2017,101.0,"Action,Adventure,Animation",nm0279729,Paul Fisher,,,"animation_department,art_department,writer"
11258,717,The Lego Ninjago Movie,2017,1.7533885857142857,b4,tt3014284,The Lego Ninjago Movie,The Lego Ninjago Movie,2017,101.0,"Action,Adventure,Animation",nm0517517,Bob Logan,,,"animation_department,art_department,writer"
11337,718,Dracula Untold,2014,3.1463103285714284,b4,tt0829150,Dracula Untold,Dracula Untold,2014,92.0,"Action,Drama,Fantasy",nm2411495,Gary Shore,1981.0,,"director,producer,writer"
11346,719,The Guardian,2006,1.3567648571428572,b4,tt1756811,The Guardian,The Guardian,2011,90.0,Drama,nm3344967,Mark Tuff,,,"camera_department,director,actor"
11347,721,The Dilemma,2011,1.0078123571428572,b4,tt1578275,The Dilemma,The Dilemma,2011,111.0,"Comedy,Drama",nm0000165,Ron Howard,1954.0,,"actor,producer,director"
11349,725,Rock of Ages,2012,0.8718847428571429,b4,tt1336608,Rock of Ages,Rock of Ages,2012,123.0,"Comedy,Drama,Musical",nm0788202,Adam Shankman,1964.0,,"producer,miscellaneous,director"
11355,730,Bad Company,2002,0.9879573714285714,b4,tt1334515,Bad Company,Bad Company,2010,87.0,Thriller,nm1162500,Jason King,,,"producer,director,writer"
11357,732,The Finest Hours,2016,0.7036108714285715,b4,tt2025690,The Finest Hours,The Finest Hours,2016,117.0,"Action,Drama,History",nm0318916,Craig Gillespie,1967.0,,"director,producer"
11367,733,Escape Plan,2013,1.4819423571428572,b4,tt1211956,Escape Plan,Escape Plan,2013,115.0,"Action,Crime,Mystery",nm0405632,Mikael Håfström,1960.0,,"writer,director,assistant_director"
11371,734,Killer Elite,2011,0.9344149428571428,b4,tt1448755,Killer Elite,Killer Elite,2011,116.0,"Action,Crime,Thriller",nm1834213,Gary McKendry,,,"director,writer"
11377,738,The Legend of Hercules,2014,0.8421902714285714,b4,tt1043726,The Legend of Hercules,The Legend of Hercules,2014,99.0,"Action,Adventure,Fantasy",nm0001317,Renny Harlin,1959.0,,"producer,director,writer"
11389,743,Blackhat,2015,0.2809286285714286,b4,tt2717822,Blackhat,Blackhat,2015,133.0,"Action,Crime,Thriller",nm0000520,Michael Mann,1943.0,,"producer,writer,director"
11392,746,Despicable Me,2010,7.87629815942029,b4,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",nm1853544,Pierre Coffin,1967.0,,"actor,director,producer"
11393,746,Despicable Me,2010,7.87629815942029,b4,tt1323594,Despicable Me,Despicable Me,2010,95.0,"Animation,Comedy,Family",nm0719208,Chris Renaud,,,"producer,actor,director"
11410,747,Dinner for Schmucks,2010,1.2579203188405796,b4,tt0427152,Dinner for Schmucks,Dinner for Schmucks,2010,114.0,Comedy,nm0005366,Jay Roach,1957.0,,"producer,director,writer"
11413,748,Red Sparrow,2018,2.1152443623188404,b4,tt2873282,Red Sparrow,Red Sparrow,2018,140.0,"Action,Drama,Thriller",nm1349376,Francis Lawrence,1971.0,,"director,producer,writer"
11419,749,The Twilight Saga: Eclipse,2010,10.383865117647057,b4,tt1325004,The Twilight Saga: Eclipse,The Twilight Saga: Eclipse,2010,124.0,"Adventure,Drama,Fantasy",nm1720541,David Slade,1969.0,,"producer,director,writer"
11425,751,Ted 2,2015,3.1943256323529416,b4,tt2637276,Ted 2,Ted 2,2015,115.0,Comedy,nm0532235,Seth MacFarlane,1973.0,,"writer,music_department,producer"
11428,753,Hall Pass,2011,1.2819628676470591,b4,tt0480687,Hall Pass,Hall Pass,2011,105.0,"Comedy,Romance",nm0268370,Bobby Farrelly,1958.0,,"producer,writer,director"
11429,753,Hall Pass,2011,1.2819628676470591,b4,tt0480687,Hall Pass,Hall Pass,2011,105.0,"Comedy,Romance",nm0268380,Peter Farrelly,1956.0,,"producer,writer,director"
11436,755,Dreamcatcher,2003,1.1130186470588237,b4,tt3215846,Dreamcatcher,Dreamcatcher,2015,104.0,"Crime,Documentary,Drama",nm0519354,Kim Longinotto,1952.0,,"director,cinematographer,producer"
11438,758,Downsizing,2017,0.800926044117647,b4,tt1389072,Downsizing,Downsizing,2017,135.0,"Drama,Sci-Fi",nm0668247,Alexander Payne,1961.0,,"producer,director,writer"
11442,761,Abraham Lincoln: Vampire Hunter,2012,2.0368848888888893,b4,tt1611224,Abraham Lincoln: Vampire Hunter,Abraham Lincoln: Vampire Hunter,2012,105.0,"Action,Fantasy,Horror",nm0067457,Timur Bekmambetov,1961.0,,"producer,director,writer"
11444,762,Last Man Standing,1996,0.2703869701492537,b4,tt1736017,Last Man Standing,Last Man Standing,2010,85.0,"Biography,Crime,Documentary",nm1705473,Emilio Roso,1976.0,,"actor,producer,writer"
11445,766,Need for Speed,2014,2.9419639242424243,b4,tt2369135,Need for Speed,Need for Speed,2014,132.0,"Action,Crime,Thriller",nm0915304,Scott Waugh,,,"stunts,producer,actor"
11451,768,What Women Want,2000,5.755463430769232,b4,tt1667150,What Women Want,Wo zhi nv ren xin,2011,116.0,"Comedy,Romance,Sci-Fi",nm0155201,Daming Chen,,,"actor,director,writer"
11461,769,Lincoln,2012,4.205327400000001,b4,tt0443272,Lincoln,Lincoln,2012,150.0,"Biography,Drama,History",nm0000229,Steven Spielberg,1946.0,,"producer,writer,director"
11463,770,Ice Age,2002,5.940251430769231,b4,tt4418168,Ice Age,Asre Yakhbandan,2015,106.0,"Crime,Drama,Family",nm5394260,Mostafa Kiayee,,,"writer,director,producer"
11466,773,Hotel Transylvania 3: Summer Vacation,2018,8.108922492307693,b4,tt5220122,Hotel Transylvania 3: Summer Vacation,Hotel Transylvania 3: Summer Vacation,2018,97.0,"Adventure,Animation,Comedy",nm0850733,Genndy Tartakovsky,1970.0,,"producer,writer,director"
11472,777,Unbroken,2014,2.5158126769230766,b4,tt10402572,Unbroken,Unbroken,2018,104.0,Drama,nm10725766,Tayo Osasona,,,director
11473,779,Due Date,2010,3.2575237384615385,b4,tt1231583,Due Date,Due Date,2010,95.0,"Adventure,Comedy",nm0680846,Todd Phillips,1970.0,,"producer,director,writer"
11481,784,Annie,2014,2.151225,b4,tt1823664,Annie,Annie,2014,118.0,"Comedy,Drama,Family",nm0323239,Will Gluck,,,"producer,writer,miscellaneous"
11493,789,The Kid,2000,1.0721289846153843,b4,tt1371160,The Kid,The Kid,2010,111.0,Drama,nm0602941,Nick Moran,1969.0,,"actor,producer,writer"
11496,791,The Dictator,2012,2.7715214923076923,b4,tt1645170,The Dictator,The Dictator,2012,83.0,Comedy,nm0153078,Larry Charles,1956.0,,"producer,writer,miscellaneous"
11500,793,This Means War,2012,2.4149931846153847,b4,tt1596350,This Means War,This Means War,2012,103.0,"Action,Comedy,Romance",nm0629334,McG,1968.0,,"producer,miscellaneous,director"
11506,794,Focus,2015,2.585626153846154,b4,tt2381941,Focus,Focus,2015,105.0,"Comedy,Crime,Drama",nm0720135,John Requa,,,"producer,writer,director"
11507,794,Focus,2015,2.585626153846154,b4,tt2381941,Focus,Focus,2015,105.0,"Comedy,Crime,Drama",nm0275629,Glenn Ficarra,,,"producer,writer,director"
11518,796,Red Dawn,2012,0.740986923076923,b4,tt1234719,Red Dawn,Red Dawn,2012,93.0,"Action,Sci-Fi,Thriller",nm0103187,Dan Bradley,,,"stunts,assistant_director,actor"
11530,798,Everest,2015,3.4045701692307686,b4,tt2719848,Everest,Everest,2015,121.0,"Action,Adventure,Biography",nm0466349,Baltasar Kormákur,1966.0,,"producer,director,writer"
11534,799,Resident Evil: Retribution,2012,3.702271215384616,b4,tt1855325,Resident Evil: Retribution,Resident Evil: Retribution,2012,95.0,"Action,Horror,Sci-Fi",nm0027271,Paul W.S. Anderson,1965.0,,"writer,producer,director"
11536,806,The Missing,2003,0.5885143538461538,b4,tt4823122,The Missing,Bang jia zhe,2017,95.0,"Action,Crime,Thriller",nm1292891,Jinglei Xu,1974.0,,"producer,actress,director"
11542,807,Elektra,2005,0.8742251230769231,b4,tt1920913,Elektra,Elektra,2010,,"Drama,Thriller",nm0796119,Shyamaprasad,1960.0,,"director,actor,writer"
11546,809,"I, Frankenstein",2014,1.1473121538461541,b4,tt1418377,"I, Frankenstein","I, Frankenstein",2014,92.0,"Action,Fantasy,Horror",nm0064181,Stuart Beattie,,,"writer,director,producer"
11552,811,Sin City: A Dame to Kill For,2014,0.6253975692307693,b4,tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",nm0588340,Frank Miller,1957.0,,"writer,producer,actor"
11553,811,Sin City: A Dame to Kill For,2014,0.6253975692307693,b4,tt0458481,Sin City: A Dame to Kill For,Sin City: A Dame to Kill For,2014,102.0,"Crime,Thriller",nm0001675,Robert Rodriguez,1968.0,,"producer,writer,director"
11556,812,Live by Night,2016,0.33499126153846154,b4,tt2361317,Live by Night,Live by Night,2016,129.0,"Action,Crime,Drama",nm0000255,Ben Affleck,1972.0,,"producer,actor,writer"
11562,816,Air Strike,2018,0.007942753846153847,b4,tt4743226,Air Strike,Da hong zha,2018,120.0,"Action,Adventure,Drama",nm5684993,Xiao Feng,,,director
11568,817,Little Man,2006,1.588063234375,b4,tt2458724,Little Man,Mei nan ji,2012,,Comedy,,,,,
11569,822,Hop,2011,2.9945649682539686,b4,tt1411704,Hop,Hop,2011,95.0,"Adventure,Animation,Comedy",nm0384722,Tim Hill,,,"writer,producer,director"
11578,823,American Assassin,2017,1.0842879365079363,b4,tt1961175,American Assassin,American Assassin,2017,112.0,"Action,Thriller",nm0191147,Michael Cuesta,1963.0,,"producer,director,writer"
