index,Id,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross,Profitability,ARR,Movie Id,Genres,prod_budget_bucket
4095,64,2014,Anna,4357373,0,1200000,-3157373,0.2753952897766613,tt1715336,Mystery,b1
4095,64,2014,Anna,4357373,0,1200000,-3157373,0.2753952897766613,tt1715336,Sci-Fi,b1
4101,71,2010,Animal Kingdom,4200000,1044039,8078683,3878683,1.9234959523809523,tt1313092,Crime,b1
4101,71,2010,Animal Kingdom,4200000,1044039,8078683,3878683,1.9234959523809523,tt1313092,Drama,b1
4103,73,2011,Cargo,4200000,0,313230,-3886770,0.07457857142857142,tt1507261,Drama,b1
4108,81,2015,The Boy Next Door,4000000,36006065,53401938,49401938,13.3504845,tt3181822,Horror,b1
4108,81,2015,The Boy Next Door,4000000,36006065,53401938,49401938,13.3504845,tt3181822,Thriller,b1
4111,85,2014,Boyhood,4000000,25379975,57273049,53273049,14.31826225,tt1065073,Drama,b1
4112,87,2010,The Kids Are All Right,4000000,20811365,36275469,32275469,9.06886725,tt0842926,Comedy,b1
4112,87,2010,The Kids Are All Right,4000000,20811365,36275469,32275469,9.06886725,tt0842926,Drama,b1
4112,87,2010,The Kids Are All Right,4000000,20811365,36275469,32275469,9.06886725,tt0842926,Romance,b1
4113,89,2014,A Haunted House 2,4000000,17329487,21206861,17206861,5.30171525,tt2828996,Comedy,b1
4114,90,2013,The Last Exorcism Part II,4000000,15179303,25448707,21448707,6.36217675,tt2034139,Drama,b1
4114,90,2013,The Last Exorcism Part II,4000000,15179303,25448707,21448707,6.36217675,tt2034139,Horror,b1
4114,90,2013,The Last Exorcism Part II,4000000,15179303,25448707,21448707,6.36217675,tt2034139,Thriller,b1
4115,95,2000,Saving Grace,4000000,12178602,27786849,23786849,6.94671225,tt1691149,Crime,b1
4115,95,2000,Saving Grace,4000000,12178602,27786849,23786849,6.94671225,tt1691149,Drama,b1
4115,95,2000,Saving Grace,4000000,12178602,27786849,23786849,6.94671225,tt1691149,Horror,b1
